name,dimension,optimal_solution,ADASNOBFIT,ADAMISO,SNOBFIT,MISO,gap_ADASNOBFIT,gap_ADAMISO,gap_SNOBFIT,gap_MISO
autocorr_bern20-03,20,-72.0,-72.0,-72.0,-60.0,-72.0,0.0,0.0,0.16666666666435184,0.0
autocorr_bern20-05,20,-416.0,-412.0,-412.0,-412.0,-412.0,0.009615384615361502,0.009615384615361502,0.009615384615361502,0.009615384615361502
autocorr_bern20-10,20,-2936.0,-2896.0,-2920.0,-2896.0,-2928.0,0.013623978201630237,0.005449591280652095,0.013623978201630237,0.0027247956403260473
autocorr_bern20-15,20,-5960.0,-5856.0,-5908.0,-5828.0,-5876.0,0.01744966442952727,0.008724832214763636,0.02214765100670769,0.014093959731541258
autocorr_bern25-03,25,-92.0,-72.0,-68.0,-64.0,-92.0,0.21739130434546314,0.26086956521455573,0.30434782608364835,0.0
autocorr_bern25-06,25,-960.0,-936.0,-944.0,-904.0,-960.0,0.02499999999997396,0.016666666666649305,0.05833333333327257,0.0
autocorr_bern25-13,25,-8148.0,-7892.0,-7992.0,-7888.0,-8100.0,0.031418753068233746,0.01914580265095494,0.0319096710849249,0.005891016200293827
autocorr_bern25-19,25,-14604.0,-14440.0,-14452.0,-14368.0,-14548.0,0.011229800054778744,0.010408107367843714,0.016159956176388924,0.0038345658723634734
autocorr_bern25-25,25,-10644.0,-10352.0,-10296.0,-10328.0,-10568.0,0.027433295753473558,0.032694475760989036,0.029688087185265905,0.007140172867342433
autocorr_bern30-04,30,-324.0,-280.0,-272.0,-280.0,-308.0,0.13580246913538332,0.1604938271599985,0.13580246913538332,0.0493827160492303
autocorr_bern30-08,30,-2952.0,-2836.0,-2844.0,-2904.0,-2920.0,0.03929539295391623,0.03658536585364614,0.01626016260162051,0.010840108401080338
autocorr_bern30-15,30,-15680.0,-15308.0,-15316.0,-15376.0,-15468.0,0.023724489795916855,0.023214285714284234,0.019387755102039578,0.013520408163264443
autocorr_bern30-23,30,-30312.0,-30192.0,-30012.0,-29976.0,-30312.0,0.00395882818685656,0.0098970704671414,0.011084718923198367,0.0
autocorr_bern30-30,30,-22688.0,-22368.0,-21720.0,-22008.0,-22680.0,0.014104372355429561,0.04266572637517442,0.029971791255287816,0.000352609308885739
autocorr_bern35-04,35,-384.0,-332.0,-332.0,-348.0,-360.0,0.13541666666631402,0.13541666666631402,0.09374999999975586,0.06249999999983724
